momento_hecho,edad,sexo,clase_victima,vehiculo_victima,tipo_via,tipo_incidente,clima,fatal
Diurno,21,Masculino,Conductor,Vehiculo,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,42,Masculino,Conductor,Vehiculo,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,18,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,19,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,86,Masculino,Conductor,Camioneta,Calle,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,21,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Nublado,1
Diurno,62,Masculino,Conductor,Camioneta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,59,Femenino,Pasajero,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,50,Femenino,Pasajero,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,54,Masculino,Peaton,Peaton,Calle,Colision vehiculo/Persona,Bueno,1
Nocturno,26,Masculino,Conductor,Motocicleta,Calle,Colision vehiculo/Vehiculo,Bueno,1
Diurno,25,Femenino,Pasajero,Vehiculo,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,34,Femenino,Conductor,Vehiculo,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,35,Femenino,Conductor,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,25,Masculino,Pasajero,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,23,Masculino,Pasajero,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,23,Femenino,Pasajero,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,48,Masculino,Conductor,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,46,Masculino,Conductor,Vehiculo,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,20,Femenino,Pasajero,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,20,Femenino,Pasajero,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Nublado,1
Nocturno,41,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,61,Femenino,Conductor,Vehiculo,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,63,Masculino,Pasajero,Vehiculo,Ruta provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,57,Femenino,Conductor,Vehiculo,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,27,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,37,Masculino,Conductor,Motocicleta,Ruta provincial,Colision vehiculo/Vehiculo,Otro,1
Nocturno,21,Masculino,Conductor,Motocicleta,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,65,Masculino,Conductor,Vehiculo,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
Diurno,3,Masculino,Pasajero,Vehiculo,Ruta provincial,Colision vehiculo/Vehiculo,Lluvia,1
Nocturno,28,Masculino,Conductor,Camion,Autopista nacional,Colision vehiculo/Vehiculo,Bueno,1
Diurno,41,Femenino,Pasajero,Camioneta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,6,Femenino,Pasajero,Camioneta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,44,Masculino,Conductor,Camioneta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,54,Masculino,Pasajero,Camioneta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Diurno,3,Masculino,Pasajero,Camioneta,Ruta provincial,Colision vehiculo/Vehiculo,Bueno,1
Nocturno,73,Masculino,Conductor,Vehiculo,Autopista provincial,Colision vehiculo/Objeto-Vuelco,Bueno,1
Nocturno,53,Masculino,Conductor,Camioneta,Ruta nacional,Colision vehiculo/Objeto-Vuelco,Bueno,1
